Date,Region,Product_Category,Sales_Amount,Units_Sold,Customer_Satisfaction,Sales_Rep,Marketing_Spend,Discount_Applied,Shipping_Cost,Return_Rate,Profit_Margin,Product_Age_Days,Competitor_Price,Is_Promotion,Delivery_Time_Hours
2025-01-01,North,Electronics,15420,45,4.2,John Smith,2500,5,120,0.02,22.5,45,14999,TRUE,24
2025-01-01,South,Clothing,8900,120,4.5,Sarah Johnson,1800,10,85,0.03,18.2,15,9200,TRUE,48
2025-01-01,East,Electronics,12300,38,4.1,Mike Chen,2200,0,150,0.05,20.1,60,12500,FALSE,72
2025-01-01,West,Furniture,19800,25,4.7,Emma Davis,3000,15,350,0.01,25.8,120,21000,TRUE,96
2025-01-02,North,Clothing,6700,89,4.3,John Smith,1500,8,70,0.04,16.5,10,6900,TRUE,36
2025-01-02,South,Electronics,18900,52,4.6,Sarah Johnson,2800,12,180,0.02,24.3,30,19500,TRUE,24
2025-01-02,East,Furniture,22400,31,4.8,Mike Chen,3200,20,400,0.015,28.1,90,23500,FALSE,120
2025-01-02,West,Clothing,7800,95,4.4,Emma Davis,1600,5,65,0.035,17.8,20,8000,TRUE,48
2025-01-03,North,Furniture,21500,28,4.5,John Smith,3100,18,380,0.02,26.5,110,22500,TRUE,96
2025-01-03,South,Clothing,9200,115,4.2,Sarah Johnson,1700,10,80,0.045,19.1,12,9500,TRUE,36
2025-01-03,East,Electronics,16700,48,4.4,Mike Chen,2600,8,160,0.03,22.8,50,17200,TRUE,48
2025-01-03,West,Furniture,20100,27,4.6,Emma Davis,2900,10,320,0.025,24.9,100,21500,FALSE,108
2025-01-04,North,Electronics,14800,42,4.3,John Smith,2400,5,140,0.04,21.2,55,15300,TRUE,24
2025-01-04,South,Furniture,23100,33,4.9,Sarah Johnson,3300,25,420,0.005,30.2,130,24500,TRUE,84
2025-01-04,East,Clothing,8400,105,4.5,Mike Chen,1650,7,75,0.03,18.6,18,8700,FALSE,42
2025-01-04,West,Electronics,17200,51,4.2,Emma Davis,2700,15,190,0.035,23.4,45,17800,TRUE,36
2025-01-05,North,Clothing,7100,92,4.1,John Smith,1550,5,68,0.05,17.1,22,7400,TRUE,60
2025-01-05,South,Electronics,19500,58,4.7,Sarah Johnson,2900,20,210,0.015,25.6,35,20100,TRUE,24
2025-01-05,East,Furniture,24000,35,4.8,Mike Chen,3400,15,450,0.02,29.3,115,25500,FALSE,132
